university,program,semester,section,day,slot,time,course,teacher,room
Ibadat International University Islamabad,BS Robotics & AI,2nd Semester,Section B,Monday,Slot-1,08:30-09:15,Programming Fundamentals with C++,Kiran,AB-02-FH-04
Ibadat International University Islamabad,BS Robotics & AI,2nd Semester,Section B,Monday,Slot-2,09:15-10:00,Programming Fundamentals with C++,Kiran,AB-02-FH-04
Ibadat International University Islamabad,BS Robotics & AI,2nd Semester,Section B,Monday,Slot-3,10:00-10:45,Programming Fundamentals with C++,Kiran,AB-02-FH-04
Ibadat International University Islamabad,BS Robotics & AI,2nd Semester,Section B,Monday,Slot-5,11:30-12:15,Computer Aided Design,Laraib,AB-02-SD-01
Ibadat International University Islamabad,BS Robotics & AI,2nd Semester,Section B,Monday,Slot-6,12:15-01:00,Computer Aided Design,Laraib,AB-02-SD-01
Ibadat International University Islamabad,BS Robotics & AI,2nd Semester,Section B,Monday,Slot-7,01:00-01:45,Computer Aided Design,Laraib,AB-02-SD-01

Ibadat International University Islamabad,BS Robotics & AI,2nd Semester,Section B,Tuesday,Slot-1,08:30-09:15,Programming Fundamentals with C++,Kiran,AB-02-FH-04
Ibadat International University Islamabad,BS Robotics & AI,2nd Semester,Section B,Tuesday,Slot-2,09:15-10:00,Programming Fundamentals with C++,Kiran,AB-02-FH-04
Ibadat International University Islamabad,BS Robotics & AI,2nd Semester,Section B,Tuesday,Slot-3,10:00-10:45,Programming Fundamentals with C++,Kiran,AB-02-FH-04
Ibadat International University Islamabad,BS Robotics & AI,2nd Semester,Section B,Tuesday,Slot-5,11:30-12:15,Understanding Holy Quran / Critical Reading & Writing-I,Zahoor Ahmed,AB-02-FT-03
Ibadat International University Islamabad,BS Robotics & AI,2nd Semester,Section B,Tuesday,Slot-6,12:15-01:00,Mathematics-II,BSCS-2,AB-02-GD-03
Ibadat International University Islamabad,BS Robotics & AI,2nd Semester,Section B,Tuesday,Slot-7,01:00-01:45,Mathematics-II,BSCS-2,AB-02-GD-03

Ibadat International University Islamabad,BS Robotics & AI,2nd Semester,Section B,Wednesday,Slot-3,10:00-10:45,Academic & Business Writing,DMS-3,AB-02-FT-07
Ibadat International University Islamabad,BS Robotics & AI,2nd Semester,Section B,Wednesday,Slot-4,10:45-11:30,Academic & Business Writing,DMS-3,AB-02-FT-07
Ibadat International University Islamabad,BS Robotics & AI,2nd Semester,Section B,Wednesday,Slot-5,11:30-12:15,Engineering Mechanics,Imran Ahmed,AB-02-TD-01
Ibadat International University Islamabad,BS Robotics & AI,2nd Semester,Section B,Wednesday,Slot-6,12:15-01:00,Management & Accounting,DMS-1,AB-02-FT-01
Ibadat International University Islamabad,BS Robotics & AI,2nd Semester,Section B,Wednesday,Slot-7,01:00-01:45,Management & Accounting,DMS-1,AB-02-FT-01

Ibadat International University Islamabad,BS Robotics & AI,2nd Semester,Section B,Thursday,Slot-1,08:30-09:15,Engineering Mechanics,Imran Ahmed,AB-02-TD-01
Ibadat International University Islamabad,BS Robotics & AI,2nd Semester,Section B,Thursday,Slot-4,10:45-11:30,Academic & Business Writing,DMS-3,AB-02-FT-01
Ibadat International University Islamabad,BS Robotics & AI,2nd Semester,Section B,Thursday,Slot-5,11:30-12:15,Engineering Mechanics,Laraib,AB-02-TD-07
Ibadat International University Islamabad,BS Robotics & AI,2nd Semester,Section B,Thursday,Slot-6,12:15-01:00,Engineering Mechanics,Laraib,AB-02-TD-07
Ibadat International University Islamabad,BS Robotics & AI,2nd Semester,Section B,Thursday,Slot-7,01:00-01:45,Engineering Mechanics,Laraib,AB-02-TD-07

Ibadat International University Islamabad,BS Robotics & AI,2nd Semester,Section B,Friday,Slot-1,08:30-09:15,Engineering Mechanics,Imran Ahmed,AB-02-FT-01
Ibadat International University Islamabad,BS Robotics & AI,2nd Semester,Section B,Friday,Slot-2,09:15-10:00,Story Creation & Narration,Salma Yousaf,AB-02-FT-01
Ibadat International University Islamabad,BS Robotics & AI,2nd Semester,Section B,Friday,Slot-3,10:00-10:45,Story Creation & Narration,Salma Yousaf,AB-02-FT-01
Ibadat International University Islamabad,BS Robotics & AI,2nd Semester,Section B,Friday,Slot-4,10:45-11:30,Mathematics-II,BSCS-2,AB-02-FT-02
Ibadat International University Islamabad,BS Robotics & AI,2nd Semester,Section B,Friday,Slot-6,12:15-01:00,Pakistan Studies,Abida Jan,AB-02-TD-01
Ibadat International University Islamabad,BS Robotics & AI,2nd Semester,Section B,Friday,Slot-7,01:00-01:45,Pakistan Studies,Abida Jan,AB-02-TD-01

Ibadat International University Islamabad,BS Robotics & AI,2nd Semester,Section B,Saturday,NA,NA,No Classes,NA,NA
Ibadat International University Islamabad,BS Robotics & AI,2nd Semester,Section B,Sunday,NA,NA,No Classes,NA,NA
